NAME,AREA,POINT,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,LAT5,LONG5
Barimunya,WA-N,Y,-22.6719,119.1628,,,,,,,,
Barrow island,WA-N,Y,-20.86452,115.40606,,,,,,,,
Boolgeeda,WA-N,Y,-22.54111,117.26944,,,,,,,,
Broome,WA-N,Y,-17.94958,122.22774,,,,,,,,
Christmas Creek,WA-N,Y,-22.3562,119.6497,,,,,,,,
Christmas Island,WA-N,Y,-10.45059,105.69035,,,,,,,,
Cocos Island,WA-N,Y,-12.18865,96.83048,,,,,,,,
Coondewanna,WA-N,Y,-22.965,118.8089,,,,,,,,
Curtin/Derby South,WA-N,Y,-17.58145,123.82819,,,,,,,,
Derby,WA-N,Y,-17.3701,123.66065,,,,,,,,
Fitzroy Crossing,WA-N,Y,-18.182,125.55867,,,,,,,,
Fortescue Dave Forrest,WA-N,Y,-22.29183,119.43733,,,,,,,,
Ginbata,WA-N,Y,-22.5811,120.0356,,,,,,,,
Gudai-Darri Mine,WA-N,Y,-22.5031,119.0723,,,,,,,,
Halls Creek,WA-N,Y,-18.23396,127.6696,,,,,,,,
Ironbridge Mine,WA-N,Y,-21.2853,118.8765,,,,,,,,
Kalumburu,WA-N,Y,-14.2964,126.6453,,,,,,,,
Karlawinda Mine,WA-N,Y,-23.7811,120.135,,,,,,,,
Karratha,WA-N,Y,-20.71667,116.77639,,,,,,,,
Koolan Island/Central,WA-N,Y,-16.12,123.73,,,,,,,,
Kununurra,WA-N,Y,-15.77804,128.70743,,,,,,,,
Learmonth,WA-N,Y,-22.23548,114.08854,,,,,,,,
Lombadina,WA-N,Y,-16.5158,122.9214,,,,,,,,
Mungalalu-Truscott,WA-N,Y,-14.08969,126.38069,,,,,,,,
Newman,WA-N,Y,-23.41783,119.80274,,,,,,,,
North Rankin A Platform,WA-N,Y,-19.58556,116.13694,,,,,,,,
Onslow,WA-N,Y,-21.6684,115.113,,,,,,,,
Paraburdoo,WA-N,Y,-23.17122,117.7454,,,,,,,,
Port Hedland,WA-N,Y,-20.3875,118.62444,,,,,,,,
Roebourne,WA-N,Y,-20.7594,117.1583,,,,,,,,
Shay Gap,WA-N,Y,-20.4254,120.1311,,,,,,,,
Solomon Airport,WA-N,Y,-22.2547,117.847,,,,,,,,
Telfer,WA-N,Y,-21.71492,122.22874,,,,,,,,
West Angelas,WA-N,Y,-23.135,118.70667,,,,,,,,
Wyndham,WA-N,Y,-15.51144,128.15315,,,,,,,,
Lake King town,WA-S,Y,-33.085,119.689,,,,,,,,
Abra Mine,WA-S,Y,-24.6242,118.6203,,,,,,,,
Albany,WA-S,Y,-34.94344,117.8089,,,,,,,,
Augusta,WA-S,Y,-34.33,115.16,,,,,,,,
Boyup Brook,WA-S,Y,-33.9,116.45,,,,,,,,
Bunbury,WA-S,Y,-33.378,115.677,,,,,,,,
Busselton,WA-S,Y,-33.68729,115.40026,,,,,,,,
Caiguna,WA-S,Y,-32.27,125.49,,,,,,,,
Carnarvon,WA-S,Y,-24.88068,113.67209,,,,,,,,
Cunderdin,WA-S,Y,-31.62222,117.21667,,,,,,,,
Denmark,WA-S,Y,-34.96,117.35,,,,,,,,
Esperance Airport,WA-S,Y,-33.68444,121.82264,,,,,,,,
Forrest,WA-S,Y,-30.84389,128.11944,,,,,,,,
